opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Honduras,2024-01-18T01:00:00.000Z,DRV PNK Stadium,"7,000",,Friendlies,72,38.0,,8,4,2.0,1.0,216,68.0,15,1,3.0,1.0,0.0,7.0,1.0,,,,,316,109.0,107.0,22.0,35.0,1.0,14.0,22.0,0,2.0,0.0,8.0,53.0,9.0,2.0,12.0,4.0,48.0,30.0,50.0,18.0,60.0,2.0,29.0,1415,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2024-01-20T20:05:00.000Z,Toyota Field,Pierre Luce Lauziere,"9,191",Friendlies,57,32.0,,9,4,0.0,0.0,273,78.0,18,5,4.0,1.0,0.0,7.0,2.0,,,,,351,144.0,129.0,23.0,45.0,1.0,8.0,17.0,3,2.0,0.0,13.0,50.0,10.0,4.0,25.0,3.0,49.0,36.0,45.0,13.0,46.0,3.0,50.0,1418,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2024-01-20T20:05:00.000Z,Toyota Field,Pierre Luce Lauziere,"9,191",Friendlies,11,68.0,,15,3,0.0,0.0,695,92.0,7,5,8.0,4.0,0.0,14.0,1.0,,,,,755,334.0,361.0,43.0,75.0,8.0,25.0,14.0,0,1.0,0.0,9.0,53.0,7.0,1.0,10.0,3.0,59.0,44.0,55.0,15.0,54.0,9.0,41.0,1418,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2024-03-21T17:00:00.000Z,Boris Paichadze Dinamo Arena,José María Sánchez Martínez,"51,404",UEFA Nations League C EURO Semi-final 2022/2023,87,44.0,0.19,5,1,0.0,0.0,335,83.0,21,0,2.0,2.0,0.0,2.0,3.0,0.19,0.0,0.19,0.08,403,220.0,115.0,25.0,49.0,1.0,17.0,13.0,2,7.0,1.0,16.0,80.0,9.0,3.0,10.0,2.0,53.0,44.0,47.0,9.0,43.0,9.0,43.0,1623,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2024-03-21T17:00:00.000Z,Boris Paichadze Dinamo Arena,José María Sánchez Martínez,"51,404",UEFA Nations League C EURO Semi-final 2022/2023,75,56.0,1.71,13,4,4.0,2.0,436,86.0,17,2,6.0,3.0,2.0,8.0,5.0,1.48,0.23,1.71,1.96,508,231.0,205.0,39.0,62.0,6.0,32.0,15.0,0,4.0,0.0,12.0,63.0,14.0,2.0,4.0,1.0,62.0,50.0,53.0,12.0,57.0,11.0,48.0,1623,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,2024-03-21T17:00:00.000Z,VTB Arena,Arda Kardeşler,"23,679",Friendlies,35,65.0,,15,7,4.0,0.0,681,91.0,11,8,4.0,4.0,2.0,8.0,7.0,,,,,748,307.0,374.0,31.0,76.0,3.0,23.0,19.0,1,0.0,0.0,2.0,50.0,20.0,0.0,6.0,2.0,18.0,12.0,34.0,6.0,50.0,2.0,18.0,1430,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2024-03-21T17:00:00.000Z,VTB Arena,Arda Kardeşler,"23,679",Friendlies,33,35.0,,7,2,1.0,1.0,311,78.0,6,1,5.0,0.0,0.0,5.0,2.0,,,,,400,179.0,132.0,26.0,43.0,2.0,29.0,15.0,0,0.0,1.0,9.0,75.0,16.0,4.0,23.0,3.0,29.0,23.0,66.0,6.0,50.0,0.0,0.0,1430,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,2024-03-21T18:00:00.000Z,Ta'Qali National Stadium,Sandi Putros,"1,652",Friendlies,57,50.0,,2,2,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2024-03-21T18:00:00.000Z,Ta'Qali National Stadium,Sandi Putros,"1,652",Friendlies,171,50.0,,2,2,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2024-03-21T19:45:00.000Z,Szusza Ferenc Stadion,Anthony Taylor,"1,226",UEFA Nations League B EURO Semi-final,72,44.0,2.6,15,9,3.0,1.0,300,78.0,13,6,3.0,3.0,0.0,10.0,5.0,1.96,0.63,2.6,2.57,383,144.0,156.0,18.0,35.0,4.0,36.0,16.0,1,0.0,0.0,10.0,50.0,11.0,2.0,16.0,3.0,58.0,35.0,50.0,23.0,68.0,5.0,50.0,1626,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,2024-03-21T19:45:00.000Z,Stadion Bilino Polje,Felix Zwayer,"10,992",UEFA Nations League B EURO Semi-final,74,34.0,0.89,7,2,2.0,2.0,164,61.0,14,2,5.0,0.0,0.0,7.0,0.0,0.3,0.59,0.89,0.11,271,92.0,72.0,21.0,31.0,3.0,33.0,24.0,0,4.0,0.0,7.0,47.0,7.0,4.0,26.0,1.0,54.0,39.0,56.0,15.0,54.0,6.0,67.0,1624,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,2024-03-21T19:45:00.000Z,Szusza Ferenc Stadion,Anthony Taylor,"1,226",UEFA Nations League B EURO Semi-final,78,56.0,2.12,10,4,2.0,1.0,397,81.0,11,5,3.0,3.0,0.0,6.0,4.0,0.43,0.12,0.54,1.27,491,221.0,176.0,21.0,47.0,3.0,21.0,21.0,0,1.0,1.0,5.0,38.0,6.0,3.0,8.0,5.0,46.0,35.0,50.0,11.0,32.0,12.0,50.0,1626,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2024-03-21T19:45:00.000Z,Stadion Bilino Polje,Felix Zwayer,"10,992",UEFA Nations League B EURO Semi-final,22,66.0,1.59,12,4,3.0,1.0,439,83.0,20,4,5.0,3.0,0.0,7.0,5.0,1.45,0.14,1.59,1.72,530,242.0,197.0,39.0,57.0,3.0,17.0,23.0,2,4.0,0.0,10.0,83.0,9.0,1.0,17.0,1.0,44.0,31.0,44.0,13.0,46.0,8.0,62.0,1624,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2024-03-21T19:45:00.000Z,Estádio Dom Afonso Henriques,Ricardo De Burgos Bengoetxea,"27,532",Friendlies,6,54.0,,13,8,4.0,1.0,433,88.0,10,5,2.0,3.0,1.0,11.0,2.0,,,,,492,292.0,141.0,24.0,63.0,4.0,44.0,14.0,1,0.0,0.0,10.0,59.0,8.0,1.0,24.0,5.0,44.0,38.0,54.0,6.0,46.0,7.0,47.0,1434,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2024-03-21T19:45:00.000Z,Estádio Dom Afonso Henriques,Ricardo De Burgos Bengoetxea,"27,532",Friendlies,27,46.0,,13,6,2.0,0.0,357,85.0,15,3,6.0,1.0,0.0,7.0,6.0,,,,,421,207.0,150.0,16.0,73.0,1.0,10.0,15.0,0,0.0,0.0,6.0,46.0,5.0,3.0,9.0,3.0,39.0,32.0,46.0,7.0,54.0,9.0,43.0,1434,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2024-03-21T19:45:00.000Z,OPAP Arena,Danny Desmond Makkelie,"25,200",UEFA Nations League C EURO Semi-final,103,36.0,0.71,14,2,1.0,1.0,207,74.0,13,5,5.0,7.0,1.0,5.0,9.0,0.63,0.08,0.71,0.18,280,105.0,102.0,17.0,40.0,4.0,31.0,21.0,0,4.0,0.0,14.0,70.0,6.0,4.0,19.0,6.0,43.0,36.0,50.0,7.0,25.0,6.0,40.0,1625,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2024-03-21T19:45:00.000Z,Cardiff City Stadium,Istvan Kovacs,"32,162",UEFA Nations League A EURO Semi-final,61,59.0,1.45,9,2,3.0,2.0,478,87.0,12,3,3.0,4.0,0.0,8.0,1.0,1.45,0.0,1.45,1.08,549,286.0,192.0,13.0,32.0,4.0,44.0,19.0,0,3.0,0.0,8.0,80.0,8.0,0.0,8.0,6.0,35.0,29.0,48.0,6.0,38.0,5.0,38.0,1628,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2024-03-21T19:45:00.000Z,Cardiff City Stadium,Istvan Kovacs,"32,162",UEFA Nations League A EURO Semi-final,29,41.0,3.07,15,10,5.0,2.0,318,84.0,16,2,5.0,0.0,0.0,11.0,4.0,1.74,1.33,3.07,4.63,379,214.0,104.0,17.0,41.0,4.0,57.0,15.0,5,4.0,0.0,10.0,63.0,7.0,3.0,17.0,1.0,42.0,32.0,52.0,10.0,63.0,6.0,43.0,1628,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2024-03-21T19:45:00.000Z,Stadion Narodowy,Slavko Vinčić,"53,868",UEFA Nations League A EURO Semi-final,123,15.0,0.08,1,1,0.0,0.0,76,57.0,8,1,0.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.1,133,52.0,24.0,10.0,22.0,0.0,0.0,15.0,0,0.0,1.0,4.0,50.0,12.0,7.0,51.0,6.0,31.0,16.0,46.0,15.0,39.0,4.0,67.0,1627,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,2024-03-21T19:45:00.000Z,Stadion Narodowy,Slavko Vinčić,"53,868",UEFA Nations League A EURO Semi-final,28,85.0,2.76,25,10,5.0,2.0,658,92.0,6,17,7.0,8.0,1.0,14.0,11.0,2.3,0.46,2.76,3.79,718,145.0,513.0,15.0,68.0,8.0,18.0,21.0,1,1.0,0.0,4.0,80.0,8.0,0.0,9.0,0.0,42.0,19.0,54.0,23.0,61.0,7.0,88.0,1627,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2024-03-21T19:45:00.000Z,OPAP Arena,Danny Desmond Makkelie,"25,200",UEFA Nations League C EURO Semi-final,50,64.0,3.87,21,10,6.0,2.0,431,87.0,10,8,7.0,4.0,1.0,15.0,6.0,2.45,0.63,3.08,4.57,496,254.0,177.0,27.0,53.0,5.0,23.0,18.0,2,1.0,0.0,9.0,60.0,10.0,7.0,14.0,2.0,57.0,36.0,50.0,21.0,75.0,8.0,44.0,1625,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,2024-03-21T21:00:00.000Z,,,,Friendlies,164,21.0,,4,2,1.0,0.0,65,50.0,13,0,2.0,0.0,0.0,3.0,1.0,,,,,130,35.0,30.0,12.0,29.0,0.0,0.0,14.0,1,1.0,0.0,5.0,83.0,5.0,7.0,37.0,3.0,25.0,16.0,36.0,9.0,38.0,1.0,20.0,1436,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,2024-03-21T21:00:00.000Z,,,,Friendlies,59,79.0,,16,4,0.0,0.0,393,83.0,9,6,5.0,7.0,1.0,12.0,4.0,,,,,472,178.0,215.0,21.0,47.0,7.0,21.0,25.0,4,1.0,0.0,3.0,43.0,2.0,0.0,3.0,1.0,44.0,29.0,64.0,15.0,63.0,9.0,90.0,1436,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2024-03-21T21:00:00.000Z,Chase Stadium,Rubiel Vazquez,"30,000",Friendlies,54,33.0,,12,3,5.0,4.0,250,81.0,19,3,6.0,3.0,0.0,9.0,3.0,,,,,310,160.0,90.0,17.0,44.0,2.0,17.0,15.0,2,0.0,0.0,5.0,45.0,8.0,4.0,24.0,2.0,39.0,26.0,41.0,13.0,54.0,1.0,14.0,1435,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,2024-03-21T21:00:00.000Z,Chase Stadium,Rubiel Vazquez,"30,000",Friendlies,9,67.0,,12,4,2.0,0.0,559,91.0,14,10,4.0,4.0,0.0,9.0,3.0,,,,,617,310.0,249.0,34.0,72.0,5.0,21.0,14.0,3,0.0,0.0,7.0,47.0,7.0,3.0,9.0,2.0,49.0,38.0,59.0,11.0,46.0,7.0,54.0,1435,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2024-03-22T00:30:00.000Z,,,,Friendlies,31,59.0,,19,5,0.0,0.0,519,91.0,15,3,7.0,7.0,0.0,11.0,8.0,,,,,572,268.0,251.0,34.0,72.0,8.0,47.0,20.0,1,2.0,0.0,13.0,76.0,10.0,2.0,18.0,3.0,54.0,45.0,52.0,9.0,69.0,21.0,68.0,1437,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2024-03-22T00:30:00.000Z,,,,Friendlies,108,41.0,,7,3,0.0,0.0,323,83.0,7,2,2.0,2.0,0.0,5.0,2.0,,,,,389,207.0,116.0,15.0,43.0,5.0,31.0,19.0,1,0.0,0.0,13.0,57.0,8.0,7.0,15.0,3.0,46.0,42.0,48.0,4.0,31.0,4.0,40.0,1437,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,2024-03-22T17:00:00.000Z,Ullevaal Stadion,Willy Delajod,"11,891",Friendlies,47,60.0,,9,3,2.0,2.0,449,83.0,13,4,5.0,1.0,0.0,9.0,0.0,,,,,540,194.0,255.0,27.0,51.0,5.0,38.0,19.0,2,2.0,0.0,14.0,78.0,6.0,5.0,15.0,3.0,55.0,42.0,56.0,13.0,57.0,14.0,93.0,1449,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2024-03-22T17:00:00.000Z,Ullevaal Stadion,Willy Delajod,"11,891",Friendlies,36,40.0,,13,5,2.0,1.0,277,78.0,11,5,3.0,5.0,0.0,10.0,3.0,,,,,353,170.0,107.0,22.0,47.0,6.0,32.0,17.0,2,0.0,0.0,8.0,67.0,15.0,1.0,14.0,2.0,43.0,33.0,44.0,10.0,43.0,8.0,42.0,1449,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,2024-03-22T19:45:00.000Z,Arena Naţională,Kristoffer Karlsson,"30,439",Friendlies,73,29.0,,5,2,1.0,0.0,183,68.0,15,1,0.0,3.0,0.0,3.0,2.0,,,,,270,101.0,82.0,19.0,37.0,1.0,20.0,25.0,3,2.0,0.0,7.0,54.0,15.0,3.0,24.0,2.0,49.0,28.0,45.0,21.0,60.0,6.0,43.0,1455,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkiye,2024-03-22T19:45:00.000Z,Puskás Aréna,Bartosz Frankowski,"67,215",Friendlies,26,46.0,,8,5,2.0,1.0,369,83.0,11,2,2.0,1.0,0.0,5.0,3.0,,,,,446,274.0,95.0,23.0,46.0,4.0,33.0,13.0,1,2.0,0.0,19.0,83.0,8.0,3.0,19.0,6.0,53.0,38.0,47.0,15.0,44.0,4.0,31.0,1453,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,2024-03-22T19:45:00.000Z,Johan Cruijff Arena,Erik Lambrechts,"46,223",Friendlies,7,53.0,,13,6,5.0,2.0,500,88.0,10,2,4.0,3.0,0.0,9.0,4.0,,,,,570,326.0,174.0,20.0,54.0,2.0,29.0,13.0,3,1.0,0.0,9.0,75.0,6.0,2.0,17.0,2.0,42.0,32.0,59.0,10.0,67.0,8.0,62.0,1454,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2024-03-22T19:45:00.000Z,Johan Cruijff Arena,Erik Lambrechts,"46,223",Friendlies,39,47.0,,13,2,3.0,3.0,416,86.0,12,2,9.0,2.0,2.0,8.0,5.0,,,,,483,247.0,169.0,31.0,57.0,6.0,30.0,16.0,2,2.0,0.0,4.0,67.0,14.0,3.0,10.0,2.0,27.0,22.0,41.0,5.0,33.0,6.0,46.0,1454,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2024-03-22T19:45:00.000Z,Arena Naţională,Kristoffer Karlsson,"30,439",Friendlies,46,71.0,,11,3,0.0,0.0,577,87.0,9,5,4.0,4.0,0.0,2.0,9.0,,,,,667,309.0,268.0,38.0,58.0,1.0,11.0,29.0,2,3.0,0.0,12.0,80.0,4.0,3.0,19.0,1.0,48.0,34.0,55.0,14.0,40.0,5.0,63.0,1455,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2024-03-22T19:45:00.000Z,Puskás Aréna,Bartosz Frankowski,"67,215",Friendlies,40,54.0,,16,6,1.0,1.0,453,88.0,12,7,7.0,3.0,0.0,11.0,5.0,,,,,514,246.0,207.0,33.0,67.0,5.0,25.0,19.0,3,2.0,0.0,15.0,75.0,8.0,0.0,16.0,4.0,62.0,43.0,53.0,19.0,56.0,12.0,50.0,1453,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,2024-03-22T19:50:00.000Z,Stadio Ennio Tardini,Luca Pairetto,"17,000",Friendlies,66,55.0,,7,0,0.0,0.0,536,92.0,9,4,3.0,4.0,0.0,2.0,5.0,,,,,585,334.0,202.0,27.0,73.0,1.0,6.0,13.0,1,2.0,0.0,7.0,50.0,9.0,2.0,11.0,1.0,40.0,35.0,52.0,5.0,38.0,8.0,47.0,1456,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2024-03-22T19:50:00.000Z,Stadio Ennio Tardini,Luca Pairetto,"17,000",Friendlies,42,45.0,,9,4,1.0,0.0,427,87.0,13,4,3.0,2.0,0.0,4.0,5.0,,,,,490,212.0,215.0,23.0,49.0,1.0,10.0,16.0,2,2.0,0.0,10.0,59.0,3.0,4.0,11.0,0.0,39.0,31.0,47.0,8.0,62.0,6.0,46.0,1456,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,2024-03-22T20:05:00.000Z,New Administrative Capital Stadium,Clement Franklin Kpan,"30,200",Friendlies,37,48.0,,10,3,2.0,1.0,352,82.0,20,2,6.0,1.0,1.0,6.0,4.0,,,,,429,210.0,142.0,31.0,53.0,1.0,11.0,23.0,5,1.0,0.0,13.0,52.0,7.0,1.0,29.0,1.0,55.0,45.0,60.0,10.0,59.0,6.0,46.0,1457,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2024-03-22T20:05:00.000Z,New Administrative Capital Stadium,Clement Franklin Kpan,"30,200",Friendlies,104,52.0,,4,1,1.0,1.0,361,81.0,14,4,2.0,1.0,1.0,3.0,1.0,,,,,445,183.0,178.0,23.0,48.0,2.0,11.0,27.0,2,2.0,0.0,6.0,67.0,12.0,1.0,8.0,2.0,37.0,30.0,40.0,7.0,41.0,3.0,20.0,1457,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,2024-03-22T20:30:00.000Z,London Stadium,Michael Oliver,"44,000",Friendlies,8,58.0,,13,3,1.0,1.0,481,85.0,15,6,6.0,4.0,0.0,10.0,3.0,,,,,565,267.0,214.0,27.0,61.0,10.0,45.0,16.0,0,0.0,0.0,14.0,78.0,4.0,1.0,9.0,4.0,51.0,38.0,44.0,13.0,52.0,3.0,21.0,1458,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2024-03-22T20:30:00.000Z,London Stadium,Michael Oliver,"44,000",Friendlies,12,42.0,,7,5,0.0,0.0,344,82.0,17,1,1.0,1.0,0.0,5.0,2.0,,,,,421,197.0,147.0,28.0,50.0,1.0,10.0,19.0,3,0.0,0.0,13.0,52.0,8.0,4.0,14.0,3.0,61.0,49.0,56.0,12.0,48.0,9.0,41.0,1458,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2024-03-22T22:00:00.000Z,Stade d'Agadir,"36,786",,Friendlies,94,29.0,,9,1,0.0,0.0,215,80.0,24,4,5.0,3.0,0.0,3.0,6.0,,,,,268,150.0,65.0,18.0,47.0,3.0,33.0,9.0,0,2.0,0.0,8.0,67.0,13.0,10.0,18.0,3.0,36.0,30.0,41.0,6.0,60.0,6.0,60.0,1463,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2024-03-22T22:00:00.000Z,Stade d'Agadir,"36,786",,Friendlies,13,71.0,,18,3,1.0,1.0,613,92.0,13,4,5.0,10.0,0.0,7.0,11.0,,,,,664,328.0,285.0,30.0,71.0,2.0,13.0,25.0,0,1.0,0.0,11.0,85.0,8.0,3.0,8.0,1.0,47.0,43.0,59.0,4.0,40.0,7.0,47.0,1463,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,2024-03-23T00:00:00.000Z,,,,Friendlies,1,79.0,,24,14,4.0,1.0,847,92.0,13,11,6.0,4.0,0.0,16.0,8.0,,,,,922,265.0,582.0,23.0,70.0,5.0,31.0,16.0,2,0.0,0.0,17.0,71.0,11.0,1.0,2.0,1.0,53.0,44.0,60.0,9.0,64.0,11.0,58.0,1466,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2024-03-23T00:00:00.000Z,,,,Friendlies,81,21.0,,2,1,0.0,0.0,169,71.0,10,2,0.0,1.0,0.0,1.0,1.0,,,,,237,130.0,39.0,9.0,23.0,0.0,0.0,18.0,0,2.0,0.0,9.0,82.0,13.0,5.0,24.0,10.0,34.0,29.0,40.0,5.0,36.0,6.0,35.0,1466,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,2024-03-23T01:35:00.000Z,Estadio Alejandro Villanueva,"33,900",,Friendlies,32,53.0,,16,6,3.0,1.0,321,81.0,13,9,6.0,4.0,0.0,11.0,5.0,,,,,397,187.0,134.0,20.0,43.0,7.0,37.0,19.0,1,0.0,0.0,14.0,70.0,9.0,2.0,15.0,3.0,50.0,43.0,61.0,7.0,44.0,9.0,82.0,1467,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,2024-03-23T01:35:00.000Z,Estadio Alejandro Villanueva,"33,900",,Friendlies,135,47.0,,11,3,0.0,0.0,301,84.0,16,4,6.0,2.0,0.0,4.0,7.0,,,,,359,180.0,121.0,42.0,69.0,2.0,15.0,15.0,4,2.0,0.0,5.0,63.0,10.0,4.0,16.0,4.0,36.0,27.0,39.0,9.0,56.0,8.0,50.0,1467,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2024-03-23T17:00:00.000Z,Aviva Stadium,Rohit Saggi,"38,128",Friendlies,60,36.0,,11,1,3.0,3.0,241,74.0,11,4,7.0,3.0,0.0,10.0,1.0,,,,,324,146.0,95.0,12.0,25.0,4.0,27.0,12.0,0,0.0,0.0,16.0,80.0,13.0,2.0,15.0,2.0,42.0,33.0,54.0,9.0,41.0,3.0,30.0,1471,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2024-03-23T17:00:00.000Z,Štadión Tehelné pole,"28,000",,Friendlies,48,47.0,,13,2,3.0,3.0,381,86.0,12,1,6.0,5.0,0.0,6.0,7.0,,,,,442,244.0,137.0,20.0,56.0,2.0,13.0,26.0,1,0.0,0.0,5.0,42.0,12.0,3.0,13.0,2.0,38.0,31.0,49.0,7.0,70.0,6.0,46.0,1472,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2024-03-23T17:00:00.000Z,Aviva Stadium,Rohit Saggi,"38,128",Friendlies,3,64.0,,9,2,0.0,0.0,524,87.0,11,6,5.0,2.0,0.0,4.0,5.0,,,,,605,262.0,262.0,25.0,48.0,1.0,7.0,20.0,1,0.0,0.0,9.0,64.0,6.0,2.0,17.0,1.0,41.0,28.0,46.0,13.0,59.0,3.0,23.0,1471,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,2024-03-23T17:00:00.000Z,Štadión Tehelné pole,"28,000",,Friendlies,25,53.0,,9,5,3.0,2.0,413,82.0,14,6,2.0,2.0,0.0,5.0,4.0,,,,,501,295.0,118.0,25.0,47.0,3.0,19.0,23.0,0,1.0,0.0,11.0,73.0,9.0,4.0,10.0,2.0,35.0,32.0,51.0,3.0,30.0,5.0,63.0,1472,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2024-03-23T19:00:00.000Z,Parken,Allard Lindhout,"30,731",Friendlies,19,53.0,,9,2,0.0,0.0,494,88.0,9,3,3.0,4.0,0.0,4.0,5.0,,,,,564,293.0,201.0,30.0,59.0,0.0,0.0,14.0,2,3.0,0.0,7.0,44.0,19.0,0.0,24.0,2.0,35.0,29.0,55.0,6.0,55.0,3.0,33.0,1473,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
