team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament
Argentina,2018-06-30 14:00:00+00:00,World Cup,2,40.0,9.0,4.0,3.0,280.0,81.0,21.0,0.0,1.0,6.0,3.0,344.0,163.0,117.0,26.0,54.0,2.0,33.0,8.0,0.0,3.0,0.0,11.0,55.0,12.0,4.0,22.0,1.0,57.0,49.0,52.0,8.0,33.0,14.0,70.0,1100,16.0,France,1
France,2018-06-30 14:00:00+00:00,World Cup,1,60.0,10.0,4.0,1.0,444.0,87.0,15.0,4.0,5.0,6.0,4.0,512.0,213.0,231.0,20.0,50.0,2.0,10.0,20.0,1.0,5.0,0.0,13.0,81.0,5.0,1.0,7.0,0.0,61.0,45.0,48.0,16.0,67.0,11.0,50.0,1100,21.0,Argentina,1
Portugal,2018-06-30 18:00:00+00:00,World Cup,15,33.0,5.0,3.0,1.0,183.0,67.0,13.0,2.0,0.0,3.0,2.0,273.0,88.0,95.0,30.0,48.0,4.0,40.0,16.0,0.0,0.0,0.0,10.0,48.0,15.0,7.0,31.0,4.0,59.0,40.0,50.0,19.0,43.0,7.0,70.0,1101,8.0,Uruguay,1
Uruguay,2018-06-30 18:00:00+00:00,World Cup,6,67.0,20.0,5.0,1.0,471.0,87.0,13.0,10.0,7.0,6.0,14.0,544.0,130.0,341.0,46.0,72.0,11.0,27.0,20.0,1.0,1.0,0.0,9.0,56.0,9.0,0.0,16.0,1.0,65.0,40.0,50.0,25.0,57.0,13.0,62.0,1101,24.0,Portugal,1
Russia,2018-07-01 14:00:00+00:00,World Cup,8,79.0,23.0,9.0,1.0,1008.0,90.0,5.0,6.0,7.0,14.0,9.0,1115.0,273.0,735.0,52.0,68.0,11.0,41.0,35.0,1.0,1.0,0.0,11.0,65.0,5.0,1.0,17.0,0.0,71.0,50.0,63.0,21.0,41.0,17.0,74.0,1102,34.0,Spain,1
Spain,2018-07-01 14:00:00+00:00,World Cup,35,21.0,7.0,1.0,1.0,192.0,66.0,19.0,5.0,2.0,5.0,2.0,291.0,90.0,102.0,22.0,32.0,2.0,17.0,27.0,1.0,2.0,0.0,13.0,59.0,14.0,7.0,44.0,9.0,59.0,29.0,37.0,30.0,59.0,3.0,25.0,1102,17.0,Russia,1
Denmark,2018-07-01 18:00:00+00:00,World Cup,10,54.0,20.0,6.0,3.0,483.0,80.0,5.0,5.0,7.0,8.0,12.0,602.0,289.0,194.0,26.0,40.0,4.0,15.0,34.0,2.0,0.0,0.0,10.0,67.0,10.0,2.0,38.0,2.0,79.0,48.0,68.0,31.0,48.0,14.0,74.0,1103,28.0,Croatia,1
Croatia,2018-07-01 18:00:00+00:00,World Cup,21,46.0,14.0,3.0,1.0,419.0,79.0,19.0,4.0,2.0,6.0,8.0,530.0,226.0,193.0,45.0,52.0,2.0,13.0,33.0,0.0,1.0,0.0,6.0,60.0,10.0,7.0,33.0,5.0,57.0,23.0,32.0,34.0,52.0,9.0,60.0,1103,28.0,Denmark,1
Mexico,2018-07-02 14:00:00+00:00,World Cup,5,48.0,20.0,10.0,3.0,319.0,84.0,6.0,8.0,4.0,13.0,7.0,382.0,179.0,140.0,18.0,55.0,6.0,30.0,22.0,0.0,2.0,0.0,14.0,54.0,8.0,8.0,18.0,1.0,74.0,58.0,58.0,16.0,62.0,15.0,65.0,1104,40.0,Brazil,1
Brazil,2018-07-02 14:00:00+00:00,World Cup,14,52.0,14.0,1.0,0.0,351.0,86.0,17.0,7.0,8.0,7.0,7.0,408.0,179.0,172.0,38.0,66.0,2.0,10.0,21.0,2.0,4.0,0.0,11.0,48.0,8.0,4.0,18.0,8.0,52.0,42.0,42.0,10.0,38.0,13.0,57.0,1104,25.0,Mexico,1
Japan,2018-07-02 18:00:00+00:00,World Cup,3,57.0,24.0,8.0,5.0,514.0,86.0,13.0,10.0,7.0,14.0,10.0,595.0,282.0,232.0,26.0,62.0,12.0,48.0,27.0,1.0,0.0,0.0,5.0,56.0,10.0,2.0,12.0,3.0,56.0,32.0,52.0,24.0,60.0,16.0,84.0,1105,48.0,Belgium,1
Belgium,2018-07-02 18:00:00+00:00,World Cup,18,43.0,11.0,4.0,0.0,364.0,81.0,9.0,6.0,3.0,7.0,4.0,450.0,179.0,185.0,34.0,46.0,2.0,14.0,9.0,1.0,1.0,0.0,4.0,36.0,13.0,7.0,34.0,5.0,45.0,29.0,48.0,16.0,40.0,6.0,60.0,1105,16.0,Japan,1
Switzerland,2018-07-03 14:00:00+00:00,World Cup,27,33.0,12.0,3.0,2.0,190.0,69.0,11.0,3.0,3.0,5.0,7.0,276.0,97.0,93.0,15.0,33.0,3.0,30.0,17.0,1.0,1.0,0.0,5.0,71.0,12.0,10.0,33.0,4.0,39.0,24.0,50.0,15.0,48.0,5.0,71.0,1106,14.0,Sweden,1
Sweden,2018-07-03 14:00:00+00:00,World Cup,19,67.0,18.0,4.0,0.0,485.0,87.0,13.0,11.0,10.0,8.0,10.0,558.0,246.0,239.0,28.0,55.0,10.0,26.0,20.0,0.0,2.0,1.0,6.0,67.0,9.0,3.0,16.0,2.0,40.0,24.0,50.0,16.0,52.0,4.0,80.0,1106,22.0,Switzerland,1
England,2018-07-03 18:00:00+00:00,World Cup,12,48.0,14.0,4.0,0.0,406.0,77.0,23.0,2.0,3.0,7.0,7.0,524.0,199.0,207.0,33.0,39.0,6.0,33.0,25.0,1.0,6.0,0.0,11.0,79.0,8.0,5.0,33.0,1.0,61.0,34.0,41.0,27.0,41.0,7.0,41.0,1107,14.0,Colombia,1
Colombia,2018-07-03 18:00:00+00:00,World Cup,4,52.0,16.0,2.0,3.0,465.0,80.0,13.0,7.0,5.0,10.0,6.0,578.0,275.0,190.0,39.0,53.0,3.0,20.0,24.0,2.0,2.0,0.0,14.0,67.0,7.0,2.0,23.0,3.0,87.0,48.0,59.0,39.0,59.0,6.0,60.0,1107,17.0,England,1
France,2018-07-06 14:00:00+00:00,World Cup,15,39.0,11.0,4.0,1.0,197.0,64.0,17.0,4.0,1.0,6.0,5.0,310.0,83.0,114.0,22.0,35.0,2.0,8.0,25.0,0.0,2.0,0.0,13.0,68.0,13.0,1.0,15.0,0.0,64.0,41.0,48.0,23.0,40.0,8.0,67.0,1108,16.0,Uruguay,1
